jinhanki_id_joined,geom_joined_any,population
日原 - 1243,POINT(139.0776049 35.8240113),17.0
八丈富士 - 2231,POINT(139.7671293 33.1312971),17.0
鏡端 - 1159,POINT(139.3799241 34.7380745),20.0
里 - 1194,POINT(139.5927011 33.8954252),22.0
砂の浜 - 2940,POINT(139.384032 34.697441),30.0
御岳山 - 2255,POINT(139.1514384 35.7839775),58.0
差木地 - 1295,POINT(139.417856 34.687549),80.0
鳩ノ巣渓谷 - 3830,POINT(139.1279889 35.8145326),108.0
一心 - 1839,POINT(139.8080964 33.121568),216.0
一心 - 1841,POINT(139.808082 33.1215675),216.0
一心 - 1840,POINT(139.8080658 33.1215656),216.0
明治橋 - 1857,POINT(139.8027508 33.1185233),288.0
元町一丁目 - 1163,POINT(139.353372 34.751254),400.0
元町二丁目 - 1174,POINT(139.355947 34.747881),608.0
和田町二丁目 - 4643,POINT(139.2282764 35.7809788),672.0
西寺方町 - 1552,POINT(139.2638552 35.677987),2816.0
神田司町二丁目 - 1097,POINT(139.7683483 35.6924876),3072.0
神田司町二丁目 - 1096,POINT(139.7684323 35.6925276),3072.0
左入町 - 3822,POINT(139.345451 35.683999),3072.0
神田司町二丁目 - 1098,POINT(139.7688983 35.6926672),3072.0
新田二丁目 - 1681,POINT(139.7433446 35.769521),3328.0
淵野辺五丁目 - 3019,POINT(139.4035759 35.565663),3712.0
六本木七丁目 - 4192,POINT(139.728312 35.665491),4352.0
六本木七丁目 - 4194,POINT(139.728287 35.66547),4352.0
赤坂九丁目 - 2074,POINT(139.7289091 35.6660395),4352.0
六本木七丁目 - 4188,POINT(139.728609 35.665843),4352.0
外神田一丁目 - 3711,POINT(139.7718899 35.698353),4352.0
多摩平一丁目 - 2569,POINT(139.3814014 35.6597394),5120.0
羽田四丁目 - 2073,POINT(139.7471586 35.5503805),10240.0
三好二丁目 - 4181,POINT(139.8022863 35.6801697),10752.0
細山三丁目 - 1063,POINT(139.5150919 35.616017),4865.0
千駄ヶ谷一丁目 - 779,POINT(139.710788 35.681018),5121.0
境南町四丁目 - 1650,POINT(139.5348195 35.6988567),6657.0
中町一丁目 - 4701,POINT(139.5617188 35.7023917),7169.0
梶野町四丁目 - 741,POINT(139.5219651 35.7055987),7937.0
上新城二丁目 - 2252,POINT(139.6317011 35.5872293),9730.0
水道一丁目 - 3969,POINT(139.7410558 35.7095051),11266.0
水道一丁目 - 3973,POINT(139.7410503 35.7096803),11266.0
水道一丁目 - 3971,POINT(139.7404667 35.7101078),11266.0
山吹町 - 3491,POINT(139.7280606 35.7077988),11778.0
兵衛二丁目 - 1887,POINT(139.3419935 35.6259192),3201.0
兵衛二丁目 - 1891,POINT(139.3412864 35.6255137),3201.0
兵衛二丁目 - 1886,POINT(139.3420075 35.6259059),3201.0
玉川学園 - 2250,POINT(139.4630885 35.5631644),3201.0
兵衛二丁目 - 1895,POINT(139.3419807 35.6259322),3201.0
鎌田一丁目 - 4537,POINT(139.618577 35.618508),3201.0
鎌田一丁目 - 2340,POINT(139.618625 35.61849),3201.0
兵衛二丁目 - 1892,POINT(139.3412978 35.6255007),3201.0
越中島二丁目 - 3149,POINT(139.7931403 35.6672745),3329.0
越中島二丁目 - 3150,POINT(139.793074 35.6673069),3329.0
大和田町五丁目 - 1413,POINT(139.3499585 35.6623819),3713.0
大和田町五丁目 - 1411,POINT(139.3503353 35.6623906),3713.0
新宿四丁目 - 1651,POINT(139.703922 35.687212),5378.0
国領町四丁目 - 4463,POINT(139.559452 35.646026),7682.0
国領町四丁目 - 4465,POINT(139.559477 35.64604),7682.0
神田東松下町 - 1141,POINT(139.7732685 35.6949225),4099.0
神田東松下町 - 1139,POINT(139.7734967 35.6946632),4099.0
神田東松下町 - 1144,POINT(139.7734469 35.6949877),4099.0
神田東松下町 - 1134,POINT(139.7732048 35.694843),4099.0
外神田三丁目 - 3619,POINT(139.7702861 35.7005814),6915.0
外神田三丁目 - 3610,POINT(139.7705435 35.7004896),6915.0
外神田二丁目 - 3661,POINT(139.7700056 35.7003844),6915.0
外神田三丁目 - 3616,POINT(139.7703798 35.7005958),6915.0
外神田二丁目 - 3678,POINT(139.7703411 35.7003224),6915.0
外神田二丁目 - 3663,POINT(139.7699438 35.7005859),6915.0
外神田二丁目 - 3655,POINT(139.770211 35.7002667),6915.0
外神田三丁目 - 3608,POINT(139.7708156 35.7004283),6915.0
上野六丁目 - 2418,POINT(139.7748414 35.707671),8710.0
上野六丁目 - 2421,POINT(139.7748028 35.7076766),8710.0
上野六丁目 - 2415,POINT(139.7749389 35.7075751),8710.0
上野六丁目 - 2425,POINT(139.774949 35.7076657),8710.0
豊島一丁目 - 4620,POINT(139.7391432 35.7580455),14854.0
豊島一丁目 - 1327,POINT(139.7390758 35.7583937),14854.0
豊島一丁目 - 1328,POINT(139.7391635 35.7580323),14854.0
豊島一丁目 - 1333,POINT(139.7390742 35.7584099),14854.0
豊島一丁目 - 4619,POINT(139.7391209 35.7580635),14854.0
羽加美四丁目 - 1763,POINT(139.300749 35.764057),1089.0
川口町 - 4175,POINT(139.2839227 35.690514),1153.0
宇津貫町 - 1930,POINT(139.33352 35.6168552),1281.0
宇津貫町 - 1929,POINT(139.3334684 35.6168829),1281.0
宇津貫町 - 1934,POINT(139.3335254 35.6168417),1281.0
宇津貫町 - 1935,POINT(139.3334866 35.6168791),1281.0
宇津貫町 - 1924,POINT(139.3337078 35.6171784),1281.0
宇津貫町 - 1925,POINT(139.3334501 35.6168863),1281.0
宇津貫町 - 1933,POINT(139.3335296 35.6168294),1281.0
上壱分方町 - 4075,POINT(139.2818104 35.6784258),1537.0
上壱分方町 - 4077,POINT(139.2812445 35.6787701),1537.0
上壱分方町 - 4066,POINT(139.2813652 35.6786611),1537.0
九段北二丁目 - 2635,POINT(139.7453349 35.6944712),1665.0
芋窪五丁目 - 4040,POINT(139.415764 35.751923),2178.0
細山六丁目 - 396,POINT(139.5164242 35.6248676),2562.0
細山六丁目 - 395,POINT(139.5164806 35.6247891),2562.0
南青山一丁目 - 1731,POINT(139.726277 35.670268),3842.0
神田佐久間町三丁目 - 3858,POINT(139.778129 35.6983099),3842.0
神田佐久間町三丁目 - 3864,POINT(139.7780479 35.6976265),3842.0
神田松永町 - 2790,POINT(139.7765684 35.7009139),7172.0
神田松永町 - 2792,POINT(139.7764641 35.7008918),7172.0
神田松永町 - 2797,POINT(139.7763167 35.7014939),7172.0
台東二丁目 - 2908,POINT(139.7794411 35.7026078),7684.0
下連雀八丁目 - 2761,POINT(139.5645033 35.6831336),7684.0
台東二丁目 - 2932,POINT(139.7790313 35.7028298),7684.0
台東一丁目 - 2964,POINT(139.7790826 35.7019485),7684.0
東門前一丁目 - 3063,POINT(139.7347859 35.5359595),8200.0
東門前一丁目 - 3061,POINT(139.7347775 35.5360217),8200.0
東上野四丁目 - 660,POINT(139.7780192 35.7130034),10248.0
鶴牧五丁目 - 2834,POINT(139.4235209 35.6113177),4101.0
神泉町 - 4215,POINT(139.691394 35.657952),7429.0
神田神保町2 - 4033,POINT(139.7562164 35.696507),2563.0
神田神保町2 - 4035,POINT(139.7562223 35.696498),2563.0
神田神保町2 - 4034,POINT(139.7557805 35.6964789),2563.0
横川町 - 1585,POINT(139.3026426 35.6670338),3715.0
新町一丁目 - 1789,POINT(139.293539 35.7875598),3843.0
新町一丁目 - 1788,POINT(139.2938502 35.7881853),3843.0
生田七丁目 - 4672,POINT(139.5421983 35.6148968),3971.0
辰巳三丁目 - 2210,POINT(139.816797 35.645048),4102.0
高倉町 - 1715,POINT(139.3632503 35.6696705),5382.0
高倉町 - 1716,POINT(139.3632596 35.6696939),5382.0
国領町七丁目 - 4476,POINT(139.558658 35.6451877),5894.0
国領町七丁目 - 4475,POINT(139.5586832 35.645178),5894.0
上小田中二丁目 - 1902,POINT(139.6360415 35.5878782),6662.0
中十条二丁目 - 1058,POINT(139.723302 35.7615048),12300.0
国領町七丁目 - 4454,POINT(139.563487 35.644839),7687.0
明神町三丁目 - 777,POINT(139.3437912 35.6572408),7943.0
明神町三丁目 - 4555,POINT(139.3433062 35.6577497),7943.0
南品川一丁目 - 2583,POINT(139.7443919 35.6158306),7943.0
明神町三丁目 - 761,POINT(139.3437429 35.6570512),7943.0
明神町三丁目 - 768,POINT(139.3435578 35.6578794),7943.0
明神町三丁目 - 766,POINT(139.3438689 35.6571138),7943.0
南品川一丁目 - 2582,POINT(139.74441 35.6158278),7943.0
南品川一丁目 - 2590,POINT(139.7444241 35.6158262),7943.0
南品川一丁目 - 2587,POINT(139.7444672 35.6162793),7943.0
明神町三丁目 - 4546,POINT(139.3437398 35.6573796),7943.0
明神町三丁目 - 764,POINT(139.3436437 35.6572517),7943.0
南品川一丁目 - 2589,POINT(139.7443805 35.6164851),7943.0
明神町三丁目 - 767,POINT(139.3431984 35.6573367),7943.0
下落合二丁目 - 1417,POINT(139.7036925 35.7161705),11278.0
川町 - 1500,POINT(139.2758525 35.6704906),961.0
上壱分方町 - 4070,POINT(139.2838157 35.6888093),961.0
川町 - 1506,POINT(139.2759102 35.6705189),961.0
弐分方町 - 1362,POINT(139.2816863 35.6746372),1410.0
弐分方町 - 1353,POINT(139.2812666 35.674669),1410.0
弐分方町 - 1345,POINT(139.2816434 35.6748694),1410.0
弐分方町 - 1349,POINT(139.2810452 35.6750864),1410.0
川町 - 1491,POINT(139.2609727 35.6707923),1602.0
